,Unnamed: 0,Tweet,label
42,42,Lebanese Christian victim of a quarrel between Syrian refugees carrying knives &amp; cleavers in Lebanon,N
43,43,"CoreCivic found its best interest is to grow US detention capacity, for women and children, by over 450%. Expanding the number of mother-child beds from 3,500 up to 20,000. This signals the largest increase in immigrant detention since WW2 #ResistICENashville photo: Julie Henry",N
44,44,I wonder is this is where Caitlyn gets his car services 🌚,N
45,45,"@user Uhhhhhh, that’s stupid LITTLE bitch, ma’am 😉",H
46,46,Bishop appeals to church groups to take action as migrants now account for 11 percent of reported cases,N
47,47,Because some women are stupid,H
48,48,@user BITCH TEXT ME,H
49,49,"because they had a cross on !! The lovely NHS  cannot get 100 Indian Doctors over from India because of Immigration rules ,good  do we want to hire from a land of Rapists and ignorant beliefs sadly we cannot get enough training places here, why dont we use nurse Practitioners#",H
50,50,"@user RT @user Don't betray Your #Voters on #Immigration. #Americans, #WeThePeople, & the #USA reject #DACA, #Amnesty, the #DreamAct, & all #illegal immigration. Do Not Break Our Constitutional Laws. Deport all illegals & #DACA immigr",H
51,51,@user Elizabeth Warren's radical agenda to abolish ICE and create open borders must be stopped. Geoff Diehl is the only candidate with a proven record of fighting illegal immigration. VOTE FOR @user FOR SENATE in MA,H
52,52,What an absolute cock womble this cunt is. Does she also alude to the fact she recieved FREE university education aswel.,H
53,53,No matter what color a girl is she still a ho 😂😂,H
54,54,"@user I am not forcing anyone. I am just putting out my view. People believe it or not is their prerogative.Even if a single person agree with me, it is ok with me. Thanks,",N
55,55,#FactCheck 👍 #BoycottUnitedArlines #AidingAndAbetting #Felons #WeThePeople are FED UP #EnoughIsEnough #ICE #DHS #DOJ #WakeUpAmerica #StopTheInvasion,N
56,56,"#NRC Assam Govt must initiate immediate action 2 cancel Voting id cards &amp; Aadhaar cards of the identified illegal migrants Let ""commited"" political dogs bark any length &amp; as loud as they can Nation must remain firm on its security concerns",N
57,57,"@user Dan, WAY too tough to choose between all the lying, deceitful corrupt losers representing Dems (& some GOP). The list is long & disgusting. Embarrassing that we pay these lying losers large salaries to corrupt our democracy.#MAGA #KAG #POTUS #Tr",H
58,58,"Russia, Turkey, Jordan are in talks on return of Syrian refugees ‘“ Lavrov",N
59,59,"@user @user No.....really? A refugee? They are here to enrich our cultures, right? I bet ya he's older than 17 too....#sendthemback it's not late to save Europe",H
60,60,NEVERRRRRRRRRRR,N
61,61,"Thank you, @user for taking a stand. It's up to all of us to fight misinformation and anti-immigrant hate. #SourcesMatter",N
62,62,And now another flood of immigrants coming our way.#BuildThatWall,H
63,63,Nothing irks me more than when bitches end it with a good guy then complain about getting hurt by a douche bag. #WakeUpYouWhore,H
64,64,Realizing the rights of Eritrean refugees in Israel. A new article:https://t.co/0SsTUvgQ6z,N
65,65,Judge orders government to release immigrant kids from Texas shelter | The Texas Tribune,N
66,66,@user @user @user Don't dare to tell us about Syrian refugees.,N
67,67,"@user @user It should foment anger. Only idiots open their borders to people who will NEVER assimilate. Majority of Black Africans coming into Europe are NOT refugees and had the money to pay for trip over, which is expensive.",H
68,68,This is what Trump supporters call humane smh,N
69,69,MegynKelly is skank. Whore paid $$ for what? Only thing left to watch on .@nbc anymore is SNL. More truth to them t…,H
70,70,"#OccupyICEPHL was delighted to learn that Charlie Kirk, the anti-immigrant, anti-Muslim, conspiracy theory-touting, founder &amp; executive director of the white nationalist-allied Turning Point USA (TPUSA) didn't have a very good morning either. #NationalistsNotWelcome",N
71,71,"Med not a house/EU not adult day care camp for migrants seeking handouts or to profit from crime.Tunisia abusing #Italy EU, which has leverage bt lacks courage to use it. #Salvini must send messageðŸ‘‰either stop boats &amp; take back citizens or we bury you economically, esp. leaders",N
72,72,@user good girl,N
73,73,you know your women are stupid just like you're_ bitch please did i fuck you_ what importance do you have in my life_ are you retarded_ 😏🌹,H
74,74,Don't you hate how girls just Whore around because they never got daddy's attention ?? And so they have to interfere in relationships.. hoe,H
75,75,"@user Greedy, you have to talk about this tomorrow including the hysterical responses.",N
76,76,@user Wow!! Never seen a woman juggle a big cock like that,H
77,77,"Fuck you, you hoe I don’t want you back",H
78,78,@user Screw her and her beliefs!! Send them packing!! This is a Christian nation with Christian laws. #BuildThatWall #kag,H
79,79,@user You are the sloppy queen of sucking cock,H
80,80,World Relief is continuing to provide legal aid and advocating for immigrant families who have been separated at the U.S.-Mexico border. You can make a difference and help reunite families by making a donation today. âž,N
81,81,"@user Africa for Africans, Asia for Asians, White countries for everyone IS White Genocide.Some basic truths:  Access to White people is not a human righthttps://t.co/c0gHvd6iMBRemigration 2018:  Easy come, easy GO!!",H
82,82,@user you dumb cunt you trick 12 and 30 year old virgins into giving you money you fucking bitch. kys honest…,H
83,83,From refugee to sole survivor - How one Syrian has become shoemaker to the famous,N
84,84,"@user @user @user @user Earth to Andrew, come in Andrew:   its about immigration.Denying Canadians their right to survive and defend their racial interests IS 'racial hatred'.  IN fact its White Genocide. Its a crime: Access to White peopl",H
85,85,"When you're sneaking in after a long, hard night of cheating and don't wanna wake your girl cause you're a good guy",N
86,86,"@user sweetie, how the hell can you take “oh my god that’s a DICK?!?!?!?!” Style monologue",N
87,87,"Absolutely perfect keep the whole lot of Illegal Aliens out, now maybe libtarded snowflakes will be happy they are not being split up? #maga #kag #nodaca #noamnesty #BuildThatWall #BuildTheWallNow #BuildTheDamnWall #BuildTheWall",H
88,88,Hundreds of Syrian refugees return home from Lebanon - ABC News,N
89,89,"VIDEO: Immigrant activist who climbed Statue of Liberty has a new song: ""America, you motherfuckers,...",N
90,90,Turkish government must immediately take precautions to protect it's borders and find solution for the trouble in Syria or else Turkey will be a refugee storage in the near future and this is a big threat for our survival #nomorerefugees,H
91,91,"//'We will send back the illegal immigrants to Bangladesh. Tough days are ahead, we will not tolerate any illegal immigrants in Bengal.'With these statements, West Bengal...",H
92,92,RT @user I bet a lot of people's therapists are dying to meet me just to see if the stories are true.,N
93,93,HOLLERINGGGGGGG. stupid baby bitch.,H
94,94,a bitch in which I find attractive can take her sock off and my dick will suddenly become hard as shit ..,H
95,95,RT @user 'You miss 100% of the shots you don't take.' -- Wayne Gretzky,N
96,96,"@user Actually that is any benefits which would make a Immigrant a ""Public Charge"" law on the books for over 100 years not entitled to hold a green card or become a citizen but #Dems wont enforce it !  That is why 73% of  Mexican and Central Amer",N
97,97,How much is John McCains funeral costing tax payers? Not including his no vote to scrap Obamacare. Next time use our hard earned money for something useful like building the wall!!#BuildThatWall#McCainFuneral #Baloney,H
98,98,I've never in my LIFE met a woman who was smarter then ME. Maybe that has to do with their small retard brains? #womenaredumb..,H
99,99,Syrian activist alleges UN gave Rakban camp refugee children expired sweets,N
100,100,"@user I bit my toungue when l heard Syrian refugees complain about Rothsey then again , maybe someone can swop them with a high rise",H
101,101,@user List fails without '50 Things To Think About To Stop You Doing Your Beans' by Kunt and the Gang,N
102,102,"SWEDEN Dentist fined nearly $50,000 for revealing that many adult Muslim migrants are posing as 'unaccompanied refugee children' via @user Swedenstan update...",N
103,103,"The US bill is an illegal endeavour and cannot impact the current situation. It is a part of the “deal of the century” which aims to revoke the Palestinian refugees’ right of return and works hand in hand with the Israeli racist Nation State Law,",N
104,104,UGH! Fake Christians really out here trying to take away our rights!! IF YOU CARE SO MUCH ABOUT LIFE THEN FIX THE ALREADY BROKEN FOSTER CARE SYSTEM AND WELCOME REFUGEES WITH OPEN ARMS. FOLLOWER OF CHRIST?? WHILE NOT LOVING YOUR NEIGHBORS? YIKES.,N
105,105,"@user Lmao on my grandmother , you never knew me in 2012 so stop while you really ahead hoe",N
106,106,Could you please explain why you praised the research of an anti-Muslim and anti-immigrant foundation linked to Orban's far-right government?  Or why you are hosting events at the Hungarian Embassy for this foundation?,N
107,107,"Was a legal Resident until she was Convicted of Shoplifting Deported then Came Back Illegally  Now She wants U,S Taxpayers to pay her Medical Bills  #SendHerBack let her family go with her !  #Immigration",H
108,108,"Italy and France try to patch up migrant row, draw papal rebuke    Send them to the Vatican...",H
109,109,"@user @user in an interview with @user Trump doesn't need Congress to Build The Wall.We are being invaded by a foreign country; defending our Borders is the # 1 job of the Commander-In-Chief, use DOD funds.""PLEASE @user",H
110,110,If you hate fuckboys it's only cause you let one break your stupid little heart... Dumb dumb,N
111,111,"@user Then don't be a whore and open your legs for everyone, and not fuck everyone you want, and magically, you'll prevent getting an STD.",H
112,112,@ THE BROKE BITCHES WHO ARE PARTYING IN MY OVARIES. I HOPE YOU FUCKING DIE AND ROT IN HELL YOU STUPID UGLY ASS BITCH,H
113,113,@user @user We need to keep saying it until its built! #BuildThatWall,H
114,114,ICE: 124 illegal immigrants released from jail later charged in 138 murder cases #BuildTheWall #EnforceUSLaws#KeepAmericansSafeThis is all the Congress should be comtemplating!#BanSanctuaryCities #NoAmnesty #NoDACADeal #EndChainMigration #Deport,H
115,115,"@user Facts! like bitch stfu & sit in the corner hoe. Catch a fit in the corner, facing the wall",H
116,116,#information_warfare,N
117,117,Here comes the results of socialism. To all Liberals who want communism; here comes your new roomies. #BuildThatWall,H
118,118,Iraqi Immigrant Accused Of Critically Wounding Colorado Cop Evaded Deportation Despite Criminal Record,N
119,119,And why should he now buckle to their demands that he swear undying trust for these A******* ?????  THEY are the enemy of this nation! #Treason,N
120,120,"Trump Administration May Be Creating 'Permanently Orphaned' Immigrant Kids, Judge Says – Texas Monthly",N
121,121,"@user Families should not bring their kids into a country illegally, would you?  We can’t afford them #sendthemhome",H
122,122,Effects of Third World Immigration into Canada via @user,N
123,123,THINGS GOT HEATED: BREAKING: Woman Sets Pedophile Muslim Man on Fire After Catching Him Rape 7 -Yr -Old Daughter,N
124,124,#FactCheck true #WakeUpAmerica #LeftistSedition #DemocratsHateAmerica #OpenYourEyes #FreeYourMind #BuildTheWall #StopTheInvasion,N
125,125,Youth #Care Worker Accused of Sexually Abusing #Immigrant Boys - #PrescientInfo,N
126,126,"This year a young immigrant from Mali saved the life of a child in France. The President of France personally awarded him a National hero medal for bravery after inviting him to the Elysée Palace, offered him French citizenship and a job.  This year, the…https://t.co/hKdEgTi5ya",N
127,127,"'Come up here and say somethin now you broke, beggin, fingers in the booty ass bitch'",H
128,128,Goals AF,N
129,129,"Hmm... Someone named ""Garcia"" wants to eliminate the US/Mexico border. Imagine my surprise.What's it called when a foreign agent enters your country &amp; sabotages your #BorderSecurity for the benefit of their own country?#StopTheInvasion #SecureTheBorder #BuildTheWall #NoIllegals",H
130,130,@user Coming from a hysterical woman.,N
131,131,@user Hahahahahahahaha no wonder you work for the sun you thick kunt.,N
132,132,@user you guys nailed it. I've had 3 seperate fits of hysterical laughter and I didn't even make it to the school yet.,N
133,133,American #FamiliesBelongTogether but the #Democrat Socialist Party Keeps allowing Illegals to Kill them  #FamiliesBelongTogetherMarch  #AmericansFirst Not Illegals Breaking #Inmigration laws,H
134,134,@user this your whore you going to marry and lie to me about will never marry women who show body to public,H
135,135,Russian immigrant seeks Democratic nomination for Alaska’s U.S. House seat,N
136,136,dawgg im fr boutta roast this bitch LMFOAOO DONT EVER POST IAN AGAIN U STUPID ASS SLUT,H
137,137,Fox News host: Lock Clinton up Get this CUNT Pirro off the air. She is a woman hating woman.,H
138,138,"@user sorry sweetie, but women are the causes of all problems",H
139,139,Thousands march in #Munich to show support for migrants,N
140,140,How to Pronounce Whore Eyed Cunt ↺RT❤ #,N
141,141,@user bitches love electric toothbrushes in their twats...,H
142,142,"Can you bitches stop pulling ya pants up above your belly button, you look like my fuckin grandfather",H
143,143,"Last week, Her Justice staff members spoke about immigrant detention, focusing on the inhumane treatment and poor conditions they observed volunteering at South Texas Family Residential Center in Dilley, TX and how chaotic policy changes continue to adversely affect detainees.",N
144,144,@user : Vogue hijabi cover star on growing up in a #refugee camp via @user #WithRefugees #WorldRefugeeDay @user @user @user @user,N
145,145,"* Croatia ðŸ‡­ðŸ‡·:  Last Wednesday, illegal migrants from Iran were detained in a neighborhood near ZapreÅ¡iÄ‡.  #v4 #visegrad",H
146,146,"Paris dont like tentrefugees. Now they bring them to the parque ""Bois de Bologne"". Close of this place life the most rich people of France in the Avenue Foch. The rich have made big walls around their property.",H
147,147,"Alabama: Illegals Force 13-Year-Old Girl to Watch Murder of her Grandmother, Then Behead Girl#IllegalAliens #Alabama #Animals #KAG#RollTide #WalkAway #LockThemAllUp #SendThemBack #BuildTheWall #MAGA #Trump #Trump2020 #QResearch #PatriotsFight #RedPill",H
148,148,"Like if you didnt want to have a party, don't fucking broadcast it #ThatsTheShitIDontLike #WomenSuck",H
149,149,@user Cameron you could not stop migration in ur one of many broken promises y do we need to stay in Europe to rub it in,N
150,150,"@user I know you do, slut",H
151,151,When you thought you'd try a little s &; m and now your ass hurts so bad you can hardly sit,N
152,152,"⁦@RepMcClintock⁩ has voted to destroy the #ACA more times than I can count. Don’t give him another opportunity. Choose to support healthcare, science, immigrant rights, civil rights &amp; social justice. Choose ⁦@Morse4America⁩ #TeamMorse",N
153,153,cocks of the beasts we keep. The life of a slut or breeding whore is quite exciting.”,N
154,154,Immigrant Health Workers in the UK,N
155,155,That's the original it came from. But I appreciate the fact that you think I would follow or steal from u. Sit down,N
156,156,"Illegal immigration drives up real estate prices, widens wealth-gaps, reduces high-tech investment, increases state and local tax burdens, hurts kids’ schools and college education, pushes Americans away from high-tech jobs",H
157,157,"@user Some women are aggressive, promiscuous whores, but all women must try harder not to make men feel uncomf…",H
158,158,"Totally out of control. These people @user @user @user @user need to be reigned in. Hotel rooms for opportunist migrants, millions being spent trying to stuff the genie back in the bottle, no end or strategy in sight.",H
159,159,@user Wake Up & Prepare to Stop the Evil Dead in it's Tracks! #SendThemBack #DeportTheUndesirables #KickOutTheLyers #SaveTheWorldUnderTheOneTrueGod,H
160,160,"Please rape my slut cunt and fill it up to the brim with thick, hot cum",N
161,161,As long as the position is on all fours who cares,N
162,162,@user well stfu then BITCH you coming to some yeen got NO BUSINESS being in. You need to mind the business that pays you hoe,H
163,163,When the pizza man is more than a minute late,N
164,164,"LIBYA TELLS ITALY: ""We don't care how much you pay us, we don't want to take back the migrant wannabes that you reject because “they include terrorists, criminals, and human traffickers"" via @user",N
165,165,"You ever be talkin to someone that you really wanna fuck, then they say one thing and all of the sudden you have no desire to fuck at all?",N
166,166,"500,000 angry Democrat women swarm Hollywood to protest rampant rape, misogyny and sexism Oh, wait............. Ne…",H
167,167,Number of illegal migrants in Ukraine grows by 22%,N
168,168,@user I get suspended at least every other day. But you still see that skank whore Chelsea Handler still tweeting away.,H
169,169,"RT @user Her:I don't get what u want outta this relationship Him:Well, I was only looking for a bj but u kept coming back",N
170,170,Imagine when all the EU migrants go home after #Brexit. No more baguettes or pizza. People in the UK will be reduced to just eating traditional UK foods. Like chicken Balti.,H
171,171,"An undercount would allow the federal government to direct resources away from California, which has the largest #immigrant population in the country.  #Census takers could miss counting millions of #Californians, researchers say",N
172,172,Nikki Haley: UN can’t 'dictate' US immigration policy,N
173,173,I cannot stand girls that ALWAYS have to have a boyfriend. #AttentionWhores #WomenSuck,H
174,174,@user Why you getting so hysterical.,N
175,175,"THIS WOMEN CAN DO ONLY ONE THINK, BACK INTO HER RAT🐀 HOLE NEVER TO COME OUT AGAIN🐀IF SHE SHOW UP ON SURFACE AM CALL…",H
176,176,#ACTNOW! #USA #EB5 #EB5Visa #Immigrant #Foreign #Investor #Visa Program Laws ARE Changing! $500k #Investment. Payment plans available. Use #bitcoin #ether #cryptocurrency. Become a US Citizen! Visit us at Contact us TODAY at gbibuildingco@outlook.com. RT,N
177,177,The Latest: Spanish PM lets migrant boat dock at Valencia    You idiots are killing Spain with islamists...,H
178,178,Afghan and Pakistani migrants were shot at as they tried to invade Hungary - Free Speech Time - @user,N
179,179,@user shut the fuck up hes not gonna dick you was gonna send u this dope steroline edit but u can go cry to olly,H
180,180,"you low life scum, pathetic, deprave, pile of shit, maggots. like i said that brainless skank bitch should've died…",H
181,181,@user @user bitch we r now TxF sluts,N
182,182,@user At the very least Ryan and McConnell need to force the dems to vote against the wall.,N
183,183,Russia Liquidates Its US Treasury Holdings | Zero Hedge   No surprise here...,N
184,184,#FactCheck wow #FactsMatter #VoteDemsOut #RedWaveRising2018 #StopTheInvasion #BuildTheWall #DeportThemAll #EndSanctuaryCities #TakeAmericaBack #WalkAwayMovementGrowing #MAGA,H
185,185,@user @user @user THIS CANNOT BE ALLOWED TO HAPPEN----CHILD KIDNAPPER AND MOLESTER MILLER NEEDS TO BE GONE!,H
186,186,@user  IDS the man who smirks at his own policies and implications on his own people y wont he admit its migration that fuels this,N
187,187,UN seeks new funding pledges for Palestinian refugees...,N
188,188,"@user Total lie. CONG is the main culprit for influx of illegal migrants both Bangladeshis&amp; Rhongyias. If they deported few, millions came during their tenures&amp; they encouraged Muslim illegal migrants&amp;shooed away Hindu migrants",H
189,189,Sigh...,N
190,190,Immigration Will Not Make America Great Again,H
191,191,"Obama, our SMALLEST president. Must take credit for all good; disavows all that was bad during his 8 year assault on our great country.#MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #WalkAway #AmericaFirst #USA #BackTheBlue #AllLivesMatter #LiberalismIsAMentalDisorder #NRA",H
192,192,@user This trashy whore gold digger at again trying be something that makes her think shes good ughhh not happening hoe bag pos,H
193,193,When his dick game is garbage but his mouth game is fire AF,N
194,194,"“The verification will play a key role in establishing refugees’ identities and their declared places of origin in Myanmar. It will help to preserve their right to voluntarily return home, if and when they decide that the conditions are right to do so.”",N
195,195,I recently read a book with a passage between a woman and a powerful man. I had to ask author if it was rape or nah. That's how blurry it is,N
196,196,#Rohingya refugees move to higher ground to avert loss of lives in the upcoming monsoon season #ucanews #voiceforthevoiceless #refugee #Bangladesh @user @user @user @user @user,N
197,197,Tesla Driving Russian Immigrant Running As A Democrat For US House Seat In Alaska,N
198,198,Never try to Holla at women who dissed you in his school I got called misogynistic egotistical whore monger damn bitch OK have a nice day 😂,N
199,199,"HIV-positive shelter worker in Mesa sexually abused 8 immigrant boys, authorities say",N
200,200,#TeenWolf #menstruafacts Question of the Day: When does a #feminist forget feminism? Answer: When the restaurant check hits the table.,H
201,201,"""The church's position on immigration will define its witness to a hurt and broken world."" - Welcoming the Stranger. This updated book is written by World Relief's Matthew Soerens and Jenny Yang. Find your copy today!",N
202,202,"@user @user Grant you the first point, but it was a joke more than an insult.About the second point though, calling an hysterical person hysterical doesn't set anyone back. There are hysterical women (and men), bitches and douchebags, ass",N
203,203,"No your not! You are scroungers/soldiers coming to create a caliphate or create chaos. Go home, look after your girlfriends/wives/kids. All fighting age. The last thing you are, are refugees! Bugger off! Bye, bey, cheers....",H
204,204,"#act4_southernsyria Apparently secret meeting this week bet #angelamerkel @user &amp;Russia fm Lavrov&amp;headRussian army- #Europe will come in&amp;help rebuild #Syria ,which Russia wants -sothat what Europe wants most can materialize ‘“ returnof #refugees -German journo #datelinelon",N
205,205,"Make Canada like Hungary Again:Prime Minster Viktor OrbÃ¡n has vowed to not allow his CHRISTIAN country to be changed by incompatible Jihadi Invaders.   OrbÃ¡n, has warned: “Europe is under invasion, countries that don’t stop immigration will be lost”",H
206,206,"I am an immigrant. I live with my child. I am a 29 year old female. I earned $13,000 last year. I work 40 hours per week. I have a Bachelor's degree in accounting. I live in MI cc'Rep. John Moolenaar. #ImmigrantsAreUS",N
207,207,"Africans having their say about Blacks in Europe, and Europeans in Africa, at the #LandExpropriationHearings, currently underway in #SouthAfrica.  #SendThemBack",H
208,208,Dems suggest Kavanaugh should NOT be considered for SCOTUS b/c #Trump is under investigation!NEVER MIND that said investigation is a TRUMPed-up phony witch-hunt begun by Dems in the 1st place#POTUS #MAGA #DrainTheSwamp #VoteRed #NEWS #NoDACA #KAG #GetOutTheVote #BuildTheWall,H
209,209,"He is in and out of jail. He's a bum , he a pussy bitch ! He just ain't shit ! I pray his next child he do wayyyyy better with fr.",N
210,210,U dont so why tweet it 😂😂 the only bitch u talk to is HELLLO ME TF WHORE 🙄😂,H
211,211,The relocationprogramm of the EU doesnt work. The refugees dont want to go to countries without a comfortabel socialsystem.,N
212,212,Illegal immigrant who killed Kate Steinle likely will be sentenced to time served #PreventableDeath#BuildTheWall #StopTheInvasion #TherIsMoreOfThemOutThere,H
213,213,I’ve never understood why people stand and wait on they food at Tolly Ho... you a good one,N
214,214,"Friend- how are you so carefree living a life of drinking, drugs and unprotected sex with complete strangers? Me-",N
215,215,Most people and including me have no problem with immigration it the illegal immigrant that we think should be stopped and deported. There is a different between a legal and illegal immigrants.,N
216,216,Virginia governor calls for probe into abuse allegations at facility that holds immigrant teens,N
217,217,When you and your girlfriend are so close that you're best friends.. So much so that you just wanna tell her about the other girls ur fuckin,N
218,218,RT @user It's not her fault that your dick is extra special. It makes people daydream ya know? xp,N
219,219,you stupid fucking whore mom,H
220,220,allies 10 year old brother is calling me a cunt and a bitch bc I asked him a question💀,N
221,221,@user Fucking cunt bitch has learned nothing from the election,H
222,222,"Illegal Alien Awaiting Deportation For Child Rape, Now Caught Producing Child Porn",H
223,223,The #commonweath of VA welcomes all immigrants to its benefit and theirs @user,N
224,224,"Denmark has cut welfare benefits for migrants - ""We'll move to Finland"" They threaten ""Finland will treat us better"" - Free Speech Time - @user",N
225,225,"@user o right settle down 75 m turks could invade Europe no more kebabs ,Cameron ur immigration policy as a nappy for constipated people",H
226,226,@user No bitch you a hoe,H
227,227,Shoutout to everyone accidentally blowing fingers off on video today so we can all have a good laugh tomorrow... Y'all patriotic AF,N
228,228,Women in their 30's on vacation will literally fuck anything,H
229,229,@user @user #AtlantaHitRockBottoms This FOOL is promoting lawlessness from illegals and wants to turn ATL into a 3rd world city like Chicago and LA. We are better than this brainless idiot! #ImpeachBottoms #BuildThatWall,H
230,230,Her- can I stay the night? Me-,N
231,231,"Watch: Merkel's Germany is starting to look like Syria - immigrants set cars on fire ""just for fun"" - Free Speech Time - @user",H
232,232,I'd say electrify the water but that would kill wildlife. #SendThemBack,H
233,233,@user The Politics of hard done Asylum seekers and designer Immigration policies to help them into Housing and NHS and other resources that can not be accessed by ordinary Uk Public all you do go on hunger strike or buy a Budgie get some publicity whi,N
234,234,"Disgusting , and bitch you are NO ROCK STAR !! YOU are a no class skank🤡😱🐍🙈🙉🙊👁",H
235,235,To use rape as a weapon towards women are far worse than using a bullet. Only other men can help the women in Burma. Stand up for the women,N
236,236,"Trump's border wall, immigration plans re-emerge at top of national debate #StopTheInvasion",N
237,237,"@user #NoDACA #TuesdayThoughtsObama Used Dreamer Illegal AliensTo Defraud The American Dream#NoDACAdeal #AmericaFirst Clint Eastwood was mocked forhis 2012 RNC speech, yet the new#ObamaPainting confirms ObamaIS nothing but an empty chair.CLINT",H
238,238,@user Protect undocumented immigrants???,N
239,239,President Trump Weekly Address ‘“ Immigration ReformÂ Needed‘¦,N
240,240,How retarded must you be to have a skank shave your legs 🤦🏻‍♀️ #jeremykyle,N
241,241,Pope to explore links between poverty and migration,N
242,242,The United States is a country founded by immigrants and dependent for its success on #immigration.,N
243,243,@user Not all men youre right Doyoung wouldnt treat me like this !!!!,H
244,244,"Well, I guess Booker won the ""most hysterical woman"" award today!! !!!",N
245,245,Left-wing Spanish Government deny 'mass' migration: 'Europe needs new blood',N
246,246,@user Hillary Clinton does give a shit about women that's why she lied again she is now keeping all the Harvey Weinstein money GREEDY BITCH,H
247,247,@user @user @user Immigration in a picturehttps://t.co/bNRq7N7Oj3,N
